exp,out,measure,est_mec,p_mec,est_saf,p_saf
vitd,mets,OR,0.741313237681915,2.9684558687747703e-19,0.744881722980787,4.72233795002409e-19
fat_kg,mets,OR,3.4414604157932,1.74774069105119e-32,3.42172595292158,4.04559869531835e-33
lean_kg,mets,OR,4.43438205872877,3.42397814816118e-32,4.36665839684458,1.32758395021405e-32
asmm_kg,mets,OR,3.64202777444404,2.38296147751729e-29,3.56213710156537,2.37544789781807e-29
asmi,mets,OR,3.47098869832082,2.26417813146717e-27,3.39210289648822,1.07707171508292e-27
bodyfat_pct,mets,OR,4.2845864518599,1.6195546961667498e-30,4.33313448268077,5.336569729259571e-31
asm_pct,mets,OR,0.220509149630443,5.80905570424353e-29,0.218252200590717,1.40953346986213e-29
fn_bmd,mets,OR,1.61430112960176,1.11165382975511e-21,1.60484927082955,4.6344285939608204e-21
ls_bmd,mets,OR,1.42739637854326,4.22589536203488e-14,1.43007366435861,3.33698261093115e-14
insulin,mets,OR,4.12548466721626,1.58084069916853e-64,4.10575538644066,2.00474138376254e-64
ggt,mets,OR,1.66240895682496,4.72851657220768e-17,1.64562285889019,1.18774354271369e-16
uric,mets,OR,2.0666813171073,1.02189702231474e-43,2.06184732374456,2.12158543900332e-43
cap,mets,OR,3.09305392452808,1.01899660449895e-07,3.08497772930764,5.60474611305251e-08
lsm,mets,OR,2.27208191459033,0.0037136175797783,2.35702133504475,0.0029665170007779
obesity,mets,OR,7.97523548959665,2.85124757151335e-62,8.01707257111685,1.28535624743746e-62
overweight,mets,OR,12.4121035006429,9.67464000932183e-66,12.3701035546748,3.03350915660503e-65
high_bodyfat,mets,OR,9.14984216325035,3.41630516823208e-29,9.40250019142291,2.3097893089050898e-30
sarcopenia,mets,OR,0.253465399525632,1.33563045113735e-05,0.257040993057699,1.2069478324296e-05
high_ldl,mets,OR,1.29871758623042,0.0002547438041789,1.31763551007792,0.0001677920487383
ckd,mets,OR,1.79089015866081,5.98229553803364e-16,1.79636835777097,7.71427026988299e-17
high_alt,mets,OR,2.9503489925885,3.2759084884019e-27,2.96056076067524,5.84040939917215e-28
high_ast,mets,OR,2.18301540695959,6.80473999840983e-13,2.21959552026586,1.06227528137584e-13
adv_fibrosis,mets,OR,0.736970016802172,0.0172443346686309,0.722776653302338,0.0088748285501812
anemia,mets,OR,1.1028525279907,0.20032712078723,1.07740394586914,0.316218089435249
leukocytosis,mets,OR,2.55065756999231,9.755660747199549e-12,2.53244443723044,5.961239945916619e-12
vitd_deficiency,mets,OR,1.5781262377206,1.24459326853254e-15,1.54068229032633,1.9237366084892802e-14
osteoporosis,mets,OR,0.487347638848871,3.45228824479878e-07,0.483057176276048,4.19613061443937e-07
smoking,mets,OR,1.28394006713136,6.5870496204539305e-09,1.28108737029962,7.31761449760435e-09
alcohol,mets,OR,0.829081812595659,0.0003714319122452,0.835706718481804,0.0006231822632698
current_smoking,mets,OR,1.26495686854395,9.74392629150841e-05,1.24910730086446,0.0002008594384019
age,insulin_resistance,OR,1.20123721622665,1.30516422996791e-13,1.20662869918407,3.80812101879701e-14
men,insulin_resistance,OR,1.2846706975232,5.72227342211172e-07,1.29169902686169,3.08449712614504e-07
bmi,insulin_resistance,OR,4.57107616803257,1.9556472591620099e-69,4.5182963452741,8.510639538961809e-70
smoking,insulin_resistance,OR,0.997904698714671,0.953961818029214,0.992644956550773,0.836386803430208
alcohol,insulin_resistance,OR,0.739786006894347,1.25821152763334e-08,0.744880914135272,1.62052840247226e-08
wc,insulin_resistance,OR,4.64734111264099,2.4739889344768397e-69,4.58030339561019,1.10032548226567e-69
height,insulin_resistance,OR,0.968769560631028,0.28508591012975,0.971056290633827,0.323772233298813
weight,insulin_resistance,OR,4.00160448458149,1.6699842493103101e-65,3.95716267443212,3.96739953109096e-66
whtr,insulin_resistance,OR,4.877295840585,5.35250217042255e-71,4.81080776932525,6.85943190808995e-71
fat_kg,insulin_resistance,OR,4.41918858957551,1.0399486371380099e-33,4.33942315844763,6.253851951326329e-34
lean_kg,insulin_resistance,OR,3.9013801699306,4.32191762225919e-34,3.88647930821713,4.96983494022799e-35
asmm_kg,insulin_resistance,OR,3.30600022893865,4.2037221622985e-32,3.28483587515474,1.30819634008472e-32
asmi,insulin_resistance,OR,3.55319974788599,6.87356952300426e-36,3.51603611138115,1.3656094768715e-36
bodyfat_pct,insulin_resistance,OR,5.35791169981528,4.68820504409217e-33,5.28865416431257,2.4184512243900798e-33
asm_pct,insulin_resistance,OR,0.204689962275918,7.347172812683749e-34,0.208408657083552,2.8418789527255e-34
obesity,insulin_resistance,OR,8.05841724867064,2.06927653510698e-74,8.02416900935867,2.30068450034195e-75
overweight,insulin_resistance,OR,8.50901109398339,1.07570854417709e-62,8.4532526614881,1.0326105766476099e-62
abdominal_obesity,insulin_resistance,OR,8.45408925227204,9.17739341650587e-70,8.39488702419513,1.40442502850531e-70
central_obesity,insulin_resistance,OR,11.1201458408297,5.24334809034288e-52,10.7968289286459,2.97814050372589e-52
high_bodyfat,insulin_resistance,OR,8.32654589408303,1.61114734788105e-26,8.28980806735259,2.71858261639418e-27
sarcopenia,insulin_resistance,OR,0.207215994359256,3.25804886440084e-08,0.211810563831857,2.93342314131962e-08
sbp,insulin_resistance,OR,1.16705920025847,1.14480035958064e-07,1.16340524300813,4.06826026395009e-07
dbp,insulin_resistance,OR,1.11958574922831,3.47712053104025e-05,1.12568441099024,1.24475858440481e-05
tg,insulin_resistance,OR,2.14292566574218,3.65702227759553e-27,2.13510968125831,4.67452144660657e-28
tchol,insulin_resistance,OR,0.99873103355193,0.955011421269757,1.00383603320915,0.863810522416208
hdl,insulin_resistance,OR,0.506421208258635,5.0428587917244595e-34,0.508619034986923,1.28820937462666e-35
ldl,insulin_resistance,OR,0.970324479964744,0.201141736450091,0.9761077188976,0.298648381740277
nonhdl,insulin_resistance,OR,1.19114895026978,7.95369918087132e-12,1.19667753193654,1.23394142618241e-12
alt,insulin_resistance,OR,1.44765161543445,1.8155726728194998e-12,1.45298472189327,5.43073071448325e-13
ast,insulin_resistance,OR,1.09612092403205,0.030399257669215,1.10210115610409,0.0208310589203581
creatinine,insulin_resistance,OR,0.860856345433602,1.04101562079835e-05,0.861790123295387,1.39002854691336e-05
egfr,insulin_resistance,OR,1.17079396505271,1.15136386863115e-05,1.16960028980811,9.24107898870167e-06
hemoglobin,insulin_resistance,OR,1.19651281035036,1.1749460502727702e-09,1.19454319119573,1.54058213604972e-09
platelet,insulin_resistance,OR,1.08604410887838,0.0023696121630033,1.08633370363781,0.002546891776528
wbc,insulin_resistance,OR,1.42858850541133,1.5785995010499202e-14,1.43049243026619,3.0532538635853103e-15
fib4,insulin_resistance,OR,0.919616559944783,0.0763066920580746,0.920089179608354,0.0803451731605168
vitd,insulin_resistance,OR,0.810411346320744,1.86382406268495e-11,0.813843629592991,1.99818042761919e-11
fn_bmd,insulin_resistance,OR,0.908371658646587,0.035093356778652,0.897680754941533,0.02111492990607
ls_bmd,insulin_resistance,OR,0.947327978378634,0.127748388614596,0.949042531090303,0.148034428034636
ggt,insulin_resistance,OR,1.37801410121225,8.00364734943298e-10,1.35464226117128,1.44884364424023e-07
uric,insulin_resistance,OR,1.24222592713932,2.33354812107168e-11,1.23663243896241,6.307481223665219e-11
cap,insulin_resistance,OR,1.81268091839067,0.0001149794960259,1.8008175855772,9.56976917753108e-05
lsm,insulin_resistance,OR,1.15458101506373,0.469434232556358,1.0981979763088,0.619686184829355
htn,insulin_resistance,OR,1.69791412534357,2.52057969826739e-12,1.69179520652622,3.2105233075539598e-12
dyslipidemia,insulin_resistance,OR,2.41295171591196,1.6562736353030199e-34,2.38050682126703,2.9064979116936e-34
low_hdl,insulin_resistance,OR,2.66919441599193,1.1351574302671999e-35,2.61867394956853,5.29494413146384e-35
high_tg,insulin_resistance,OR,2.92239751243342,1.12863698509261e-37,2.9025539071791,1.80576055453383e-37
high_ldl,insulin_resistance,OR,1.13749586854315,0.104904861225744,1.14958785554012,0.0800232099995395
high_nonhdl,insulin_resistance,OR,1.70467433765844,1.78487389835897e-09,1.71941305338226,1.23856794372096e-09
