survey,outcome,measure,pairs,sig,pct_sig,med_eff,med_n,min_n,max_n
NHANES,Insulin resistance (HOMA-IR>=2.5),OR,59,46,77.96610169491525,0.3790551713872514,12256.0,12256,12256
NHANES,Prediabetes,OR,59,41,69.49152542372882,0.14936798084070657,25660.0,25660,25660
NHANES,Advanced liver fibrosis (FIB-4>2.67),OR,58,27,46.55172413793103,0.2364748354167771,24840.0,24840,24840
NHANES,Atherogenic dyslipidemia (high TG + low HDL),OR,58,40,68.96551724137932,0.300656130094879,12287.0,12287,12287
NHANES,FIB-4 index,beta,58,35,60.3448275862069,0.051422113553868054,24840.0,24840,24840
NHANES,"HDL cholesterol, mg/dL",beta,57,48,84.21052631578948,2.37515389191475,25076.0,25076,25076
NHANES,High non-HDL cholesterol (>=190),OR,57,45,78.94736842105263,0.22476566367330503,25076.0,25076,25076
NHANES,Low HDL cholesterol,OR,57,45,78.94736842105263,0.3338209490257614,25076.0,25076,25076
NHANES,"Non-HDL cholesterol, mg/dL",beta,57,50,87.71929824561404,5.36997736206484,25076.0,25076,25076
NHANES,Dyslipidemia (KSoLA composite),OR,55,43,78.18181818181819,0.3395639373550303,25412.0,25412,25412
NHANES,"Appendicular skeletal muscle, %",beta,52,45,86.53846153846153,0.6589735836021986,8680.0,8680,8680
NHANES,"Appendicular skeletal muscle mass, kg",beta,52,44,84.61538461538461,0.92617086594981,8831.0,8831,8831
NHANES,"Body fat, %",beta,52,47,90.38461538461539,1.30835401508832,8785.0,8785,8785
NHANES,"Total fat mass, kg",beta,52,44,84.61538461538461,2.6733082918741102,8785.0,8785,8785
NHANES,High body fat (M>=25/F>=35%),OR,52,43,82.6923076923077,0.46331399193367595,8785.0,8785,8785
NHANES,"Total lean mass, kg",beta,52,42,80.76923076923077,1.779336587163465,8785.0,8785,8785
NHANES,"ASM / height^2, kg/m2",beta,50,32,64.0,0.06782722783809915,8809.0,8809,8809
NHANES,"Body mass index, kg/m2",beta,50,44,88.0,1.484708362592585,26491.0,26491,26491
NHANES,"Height, cm",beta,50,31,62.0,0.41557733673776753,26558.0,26558,26558
NHANES,"Obesity (KSSO >=25 / WHO >=30, country-specific)",OR,50,43,86.0,0.44213542735162326,26491.0,26491,26491
NHANES,"Overweight (KSSO >=23 / WHO >=25, country-specific)",OR,50,44,88.0,0.5777661866072922,26491.0,26491,26491
NHANES,"Low muscle mass (low ASMI, AWGS cut)",OR,50,17,34.0,0.31735615847046994,8809.0,8809,8809
NHANES,"Weight, kg",beta,50,24,48.0,0.348319219550341,26544.0,26544,26544
NHANES,Abdominal obesity,OR,49,44,89.79591836734694,0.48125179457274886,25279.0,25279,25279
NHANES,Central obesity (WHtR>=0.5),OR,49,42,85.71428571428571,0.6598738347578058,25250.0,25250,25250
NHANES,"Waist circumference, cm",beta,49,42,85.71428571428571,3.69825509664225,25279.0,25279,25279
NHANES,Waist-to-height ratio,beta,49,39,79.59183673469387,0.0047202401306988,25250.0,25250,25250
NHANES,Metabolic syndrome,OR,46,39,84.78260869565217,0.5720858662198047,10955.0,10955,10955
NHANES,Hepatic steatosis,OR,32,21,65.625,0.5176254071200774,3001.0,3001,3001
NHANES,MASLD,OR,28,18,64.28571428571429,0.47268733766976423,2812.0,2812,2812
