papers,in_corpus,abs_log_or,a,b
2,True,0.4789370741836623,"Obesity (KSSO >=25 / WHO >=30, country-specific)",Anemia (WHO)
2,True,0.7556786274795376,Diabetes mellitus,"Appendicular skeletal muscle mass, kg"
1,True,0.5508628421443779,Hypertension,Insulin resistance (HOMA-IR>=2.5)
1,True,,"Femoral neck BMD, g/cm2","Serum creatinine, mg/dL"
1,True,,"Serum 25(OH)D, ng/mL","Systolic blood pressure, mmHg"
1,True,0.09647690761485353,"Osteoporosis (T-score<=-2.5, age>=50)","LDL cholesterol, mg/dL"
3,True,,"Femoral neck BMD, g/cm2","HDL cholesterol, mg/dL"
1,False,,"Liver stiffness, kPa",Hepatic steatosis
1,True,0.12107287850661713,Hypertension,"Femoral neck BMD, g/cm2"
1,True,0.7150523530639374,"Serum uric acid, mg/dL","Obesity (KSSO >=25 / WHO >=30, country-specific)"
1,True,0.7126281144018534,Hypertension,"Total lean mass, kg"
1,True,,"Serum uric acid, mg/dL","eGFR (CKD-EPI 2021), mL/min/1.73m2"
1,True,0.609219710775342,Ever smoking (past/current),"White blood cell count, 10^3/uL"
2,True,0.3606805255708884,Hypertriglyceridemia (NCEP TG>=150),"Serum uric acid, mg/dL"
1,True,,"Controlled attenuation parameter, dB/m","Serum uric acid, mg/dL"
1,True,2.0969237732820387,Abdominal obesity,Insulin resistance (HOMA-IR>=2.5)
1,True,0.30343490063145745,"Serum 25(OH)D, ng/mL",Abdominal obesity
1,True,0.6853030476133808,"Total fat mass, kg",Diabetes mellitus
1,True,0.9381884864375241,"Total lean mass, kg",Diabetes mellitus
1,True,1.0248950999333952,Hypertension,Central obesity (WHtR>=0.5)
1,True,0.49197368096831623,"Low muscle mass (low ASMI, AWGS cut)",Prediabetes
1,True,0.7144257819231163,Diabetes mellitus,"Body mass index, kg/m2"
2,True,,"Age, years","Appendicular skeletal muscle mass, kg"
1,True,0.051558977959895815,High LDL cholesterol (>=160),Vitamin D deficiency (<20 ng/mL)
1,True,0.09895865166976872,Ever smoking (past/current),High LDL cholesterol (>=160)
1,True,0.5836062916656547,"Osteoporosis (T-score<=-2.5, age>=50)",Waist-to-height ratio
1,False,,"Obesity (KSSO >=25 / WHO >=30, country-specific)",MASLD
2,True,0.844144792803664,"Liver stiffness, kPa","Obesity (KSSO >=25 / WHO >=30, country-specific)"
2,True,,"Serum uric acid, mg/dL","Body mass index, kg/m2"
1,True,0.09494605924341216,Vitamin D deficiency (<20 ng/mL),"HDL cholesterol, mg/dL"
1,True,1.4669304903644769,"Osteoporosis (T-score<=-2.5, age>=50)","Obesity (KSSO >=25 / WHO >=30, country-specific)"
1,True,0.6141247090777281,Hepatic steatosis,"Hemoglobin, g/dL"
1,True,,"Alanine aminotransferase, IU/L","Serum uric acid, mg/dL"
1,True,0.07273127031490607,Hypertension,"Osteoporosis (T-score<=-2.5, age>=50)"
