exp,out,measure,est,lo,hi,p,n,adj,q
fib4,sbp,beta,0.1520976446551,-0.0929412230473025,0.397136512357503,0.223863565828175,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.26502436263759066
vitd,sbp,beta,-0.576226579394475,-0.934055169062579,-0.218397989726371,0.0016396613012848,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.002547369697011498
fn_bmd,sbp,beta,-0.588844289967896,-1.16857185115169,-0.009116728784106,0.0470704708410458,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.061812900187234635
ls_bmd,sbp,beta,-0.467285672150016,-0.969200259072152,0.0346289147721193,0.0686606873076157,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.08809578896080965
insulin,sbp,beta,1.04002645833899,0.723315629772742,1.35673728690525,1.74674102824063e-10,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",3.987052431279001e-10
hsi,sbp,beta,0.865660091589816,0.536859041548925,1.19446114163071,2.63294253950795e-07,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",5.23615111470751e-07
dm,sbp,beta,1.16426222262534,0.577340132275352,1.75118431297533,0.0001033440623854,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.0001773770895328357
prediabetes,sbp,beta,1.24187182157491,0.862691233117538,1.62105241003229,1.5943926398337e-10,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",3.6440304201779957e-10
dyslipidemia,sbp,beta,0.85895066177549,0.51610594480441,1.20179537874657,9.58821530795194e-07,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",1.8534409612846727e-06
low_hdl,sbp,beta,-0.468768369504814,-0.834893026991298,-0.102643712018331,0.0121447822243133,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.01726147013479881
high_tg,sbp,beta,2.7910820567874,2.3781041275102,3.20405998606461,6.27649330655522e-39,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",2.787617834260717e-38
high_ldl,sbp,beta,0.35078577088728,-0.644375074421641,1.3459466161962,0.489710723896809,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.5376437560986786
high_nonhdl,sbp,beta,2.27566271014178,1.59501206718162,2.95631335310193,6.6513900867496e-11,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",1.5391718715855513e-10
