exp,out,measure,est,lo,hi,p,n,adj,q
bmi,hba1c,beta,0.206393211728363,0.191782201599164,0.221004221857563,3.41716028694531e-54,25480,"Age, years, Male sex",1.4081548015787132e-52
smoking,hba1c,beta,0.0457081085341591,0.0168385491270297,0.0745776679412884,0.0023836103217887,25480,"Age, years, Male sex",0.003993884977973781
alcohol,hba1c,beta,-0.133034927856372,-0.171580000662798,-0.0944898550499458,5.04877326643009e-10,25480,"Age, years, Male sex",1.5269837188071436e-09
wc,hba1c,beta,0.211016011192535,0.195238202901293,0.226793819483777,2.88879064404079e-51,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",9.444674204814351e-50
height,hba1c,beta,-0.059519741875312,-0.0801341596743417,-0.0389053240762824,1.06949456580348e-07,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",2.7138681862210175e-07
weight,hba1c,beta,0.187707407348193,0.171852118174769,0.203562696521617,5.4821427851588e-46,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",1.3064672806077238e-44
whtr,hba1c,beta,0.226784724445692,0.211542419949479,0.242027028941906,4.881042906819539e-56,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",2.383877251775074e-54
fat_kg,hba1c,beta,0.170432339486609,0.143795034621132,0.197069644352087,8.763835723532841e-20,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",4.848913863258171e-19
lean_kg,hba1c,beta,0.223409478785109,0.186797735584437,0.260021221985781,8.91777303716614e-19,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",4.710108162220194e-18
asmm_kg,hba1c,beta,0.194551698178252,0.159531595870473,0.229571800486032,7.14391995079659e-17,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",3.3805439384391516e-16
asmi,hba1c,beta,0.218961061293931,0.189405988461594,0.248516134126268,4.37824395219951e-23,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",3.0439952679967065e-22
bodyfat_pct,hba1c,beta,0.150835235900992,0.121557118143646,0.180113353658337,1.95650076506837e-15,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",8.28684906489344e-15
asm_pct,hba1c,beta,-0.159639654381506,-0.193890297295502,-0.12538901146751,1.16960556445199e-13,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",4.4575718814759856e-13
obesity,hba1c,beta,0.362093024533411,0.333158616259006,0.391027432807817,2.3078566589152898e-48,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",6.475092867141054e-47
overweight,hba1c,beta,0.254647613182841,0.231379905664008,0.277915320701674,1.0519024396908499e-42,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",2.1901716060089483e-41
abdominal_obesity,hba1c,beta,0.297189545691898,0.272129050160374,0.322250041223422,4.6452159640849806e-46,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",1.1137257184194051e-44
central_obesity,hba1c,beta,0.233215471528123,0.205859344731467,0.260571598324778,5.34264734131688e-33,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",6.774202846874865e-32
high_bodyfat,hba1c,beta,0.173944195291207,0.135479347464369,0.212409043118046,3.75119949067547e-13,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",1.3830144627317949e-12
sarcopenia,hba1c,beta,-0.0289358796908918,-0.201449418223945,0.143577658842162,0.743296775299753,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",0.7758527818168398
sbp,hba1c,beta,0.0441424465520057,0.0219491497165746,0.0663357433874367,0.000161259736694,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.0003118003511053098
dbp,hba1c,beta,0.0022010313581762,-0.0158238932298981,0.0202259559462505,0.81125991973439,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.8372930452567824
tg,hba1c,beta,0.136901005217572,0.101232416550019,0.172569593885125,1.15903350041938e-11,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",3.8337261936948717e-11
tchol,hba1c,beta,0.0009015155869549,-0.0142996628490563,0.0161026940229662,0.907660683300451,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.9227910513949582
hdl,hba1c,beta,-0.111509227798427,-0.126088661828835,-0.0969297937680194,4.30568712327161e-29,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",4.216162935560022e-28
ldl,hba1c,beta,-0.0261102111640944,-0.0479005357747118,-0.004319886553477,0.0205092080750102,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.03003866240086648
nonhdl,hba1c,beta,0.035693291209932,0.0207154316806164,0.0506711507392477,8.01266853159845e-06,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",1.7532144198563867e-05
alt,hba1c,beta,0.0713420880721079,0.0449929879440209,0.0976911882001949,5.30058788124989e-07,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",1.2786052230624737e-06
ast,hba1c,beta,0.0239491950189804,-0.0057739631009091,0.0536723531388699,0.116954755099476,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.15026729820510784
creatinine,hba1c,beta,-0.0149242331829116,-0.0402970396597156,0.0104485732938925,0.251633070158849,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.3017461126245549
egfr,hba1c,beta,0.0380303241922473,0.0125337186743403,0.0635269297101543,0.0042559668966399,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.0069286440506615005
hemoglobin,hba1c,beta,-0.0671603775429957,-0.0857443551354633,-0.0485763999505281,1.09942488122103e-10,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",3.487830657666716e-10
platelet,hba1c,beta,0.0332140212432279,0.0172813720419552,0.0491466704445006,8.03855082066212e-05,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.0001594010378272649
wbc,hba1c,beta,0.079970437975882,0.0332300063724063,0.126710869579358,0.0010733724190156,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.0018914304185415204
fib4,hba1c,beta,-0.0381305055894812,-0.0619016619618645,-0.014359349217098,0.0021086894089165,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.003567996279586687
vitd,hba1c,beta,-0.0764826593908725,-0.0913657978630912,-0.0615995209186538,1.3515377169943801e-17,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",6.725387683559456e-17
fn_bmd,hba1c,beta,0.0383082687417596,0.0135457452287402,0.063070792254779,0.0033883371823496,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.005592099246297463
ls_bmd,hba1c,beta,0.0257310856114181,-0.0002301964957841,0.0516923677186204,0.0560284234111799,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.07643049759125094
ggt,hba1c,beta,0.0580784125186288,0.0313020139828675,0.0848548110543901,4.27365538391492e-05,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",8.737251007114949e-05
uric,hba1c,beta,-0.0799818904880045,-0.102420119619953,-0.0575436613560556,1.79204909619759e-10,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",5.613100732032989e-10
cap,hba1c,beta,0.170876061213502,0.110952512797721,0.230799609629282,0.0003389842261781,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.0006328558748280149
lsm,hba1c,beta,0.0473712585511082,0.0225668109302223,0.0721757061719942,0.0046028045517144,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.007459522657346238
htn,hba1c,beta,0.191859985616897,0.15545159193941,0.228268379294384,3.32494839002942e-18,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",1.7082462118125174e-17
mets,hba1c,beta,0.393052419207254,0.340221461311217,0.445883377103292,3.61705806305378e-28,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",3.281899471890081e-27
dyslipidemia,hba1c,beta,0.221474069128393,0.194783476741391,0.248164661515395,6.43750797086067e-32,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",7.647682141959403e-31
low_hdl,hba1c,beta,0.201586277002559,0.168491563495064,0.234680990510055,4.99110798745204e-22,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",3.2053284412922516e-21
high_tg,hba1c,beta,0.233751774173235,0.179385726954992,0.288117821391478,9.982077998056451e-14,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",3.8116892432732936e-13
high_ldl,hba1c,beta,0.0616568230606733,0.0010722894477023,0.122241356673644,0.0483816298474136,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.06675888652820655
high_nonhdl,hba1c,beta,0.176285609445673,0.125115618575831,0.227455600315514,5.78403159570205e-10,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",1.7426983238840296e-09
atherogenic_dyslipidemia,hba1c,beta,0.319269658337911,0.233441397439413,0.405097919236409,3.8188497959490896e-11,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",1.2312444818887203e-10
ckd,hba1c,beta,0.424379732365052,0.358065011251536,0.490694453478569,1.8790828192629e-23,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",1.3180136525868763e-22
high_alt,hba1c,beta,0.143816888553129,0.0801958174336932,0.207437959672565,2.11489140492488e-05,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",4.452639913721568e-05
high_ast,hba1c,beta,0.190607629230245,0.103483141282161,0.277732117178329,3.70570926598727e-05,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",7.63928392717334e-05
adv_fibrosis,hba1c,beta,-0.0912460243872017,-0.178288891859399,-0.0042031569150043,0.0421214107621725,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.05877682574079521
anemia,hba1c,beta,0.181535432252345,0.12608284133953,0.236988023165161,3.0196598805657702e-09,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",8.637580974344315e-09
